Row,EFM_1_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_2_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_3_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_4_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_5_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_6_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_7_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_8_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_9_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_10_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_11_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_12_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_13_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_14_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_15_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_16_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_17_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_18_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_19_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_20_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_21_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_22_anchor_BIOMASS_Ec_iML1515_WT_75p37M
PSD160,0.0736892954607963,0.597096239644516,0.567409731270526,0.605761291433498,0.604306742282375,0.61050443894912,0.610393668697107,0.610592353069331,0.608217071301078,0.248650838539654,0.0022082,0.910854571390415,0.910921187962129,0.0022082,0.171500804150822,0.0996566198485533,0.613647304149498,0.0521971724836343,0.128632609698788,0.155434784264383,0.166883054151216,0.268000354469575
PSD161,0.0573142672556461,0.464411190829389,0.441321534941186,0.47115071915453,0.470019395829173,0.474839857755236,0.474753702557414,0.474908235846652,0.473060782519519,0.193396347790895,0.0017175,0.104564058896771,0.104502300309769,0.0017175,0.133390377288759,0.0775112057738838,0.477284324280754,0.0405980634637451,0.100048232568458,0.12089450320355,0.129798770720366,0.208446068653879
PSD180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLIPAabcpp,0.0136002501426716,0.110201327989821,0.104722324055476,0.111800568029944,0.111532113403307,0.112675973233273,0.11265552924441,0.112692198846756,0.112253811886946,0.0458915176373679,0.00040755,0.013532517658966,0.013532582401489,0.00040755,0.0316525462963806,0.0183928337194448,0.113256026993084,0.00963361907694282,0.023740702872358,0.0286873681400912,0.0308002847202826,0.0494627046753352
LPLIPAL1G141pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPLIPAL1G180pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPLIPAL1G181pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACONTb_f,0,0,50.2570488093821,0.5788775822765,0.65366904127666,0.660372991695903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLCP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6Pt6_2pp,0,0,0,0,0,0,0,0,0,0,87.9033722191174,0,0,0,0,0,0,0,0,0,0,0
PLIPA2A140pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLIPA2A141pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLIPA2A180pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
